,offer_id,offer_date,price,make,model,version,generation,eng_capacity,eng_power,mileage,body,country_of_origin,gearbox,fuel,prod_year,doors,seats,color,condition
8239,6079882646,"10:57, 11 marca 2021",9300.0,Opel,Astra,H (2004-2014),H (2004-2014),1900.0,,225000,Kombi,Nie podano,Manualna,Diesel,2006,5.0,5.0,Srebrny,Używane
8240,6083152495,"10:57, 11 marca 2021",13500.0,Audi,A4,Avant 1.9 TDI,B6 (2000-2004),1896.0,130.0,278310,Kombi,Niemcy,Manualna,Diesel,2002,5.0,5.0,Czarny,Używane
8241,6083152522,"10:57, 11 marca 2021",17900.0,BMW,Seria 3,318i,E90/E91/E92/E93 (2005-2012),1995.0,129.0,188000,Sedan,Nie podano,Manualna,Benzyna,2006,4.0,5.0,Złoty,Używane
8242,6082135761,"10:56, 11 marca 2021",319900.0,Mercedes-Benz,Klasa S,Nie podano,W222 (2013-),2925.0,330.0,134000,Sedan,Polska,Automatyczna,Diesel,2017,4.0,5.0,Czarny,Używane
8243,6083152541,"10:55, 11 marca 2021",105199.0,Opel,Grandland X,Nie podano,Nie podano,1199.0,130.0,1,SUV,Polska,Manualna,Benzyna,2020,5.0,5.0,Czerwony,Nowe
8244,6082628285,"10:55, 11 marca 2021",62900.0,Audi,A6,Nie podano,C7 (2011-2018),3000.0,204.0,241000,Kombi,Niemcy,Automatyczna,Diesel,2013,,5.0,Czarny,Używane
8245,6081173383,"10:54, 11 marca 2021",43500.0,Toyota,Auris,1.6 Premium,II (2012-),1598.0,132.0,80392,Kompakt,Nie podano,Manualna,Benzyna,2014,5.0,5.0,Biały,Używane
8246,6083152434,"10:54, 11 marca 2021",14500.0,BMW,Seria 5,Nie podano,E39 (1996-2003),4398.0,286.0,279000,Kombi,Nie podano,Automatyczna,Benzyna,1998,4.0,5.0,Niebieski,Używane
8247,6083152340,"10:54, 11 marca 2021",289656.72,Mercedes-Benz,Klasa A,AMG 45 S 4Matic+ AMG Speedshift DCT 8G,W177 (2018-),1991.0,421.0,17900,Kompakt,Polska,Automatyczna,Benzyna,2020,5.0,5.0,Czarny,Używane
8248,6083152474,"10:54, 11 marca 2021",71500.0,Volkswagen,Sharan,Nie podano,II (2010-),1968.0,177.0,161809,Minivan,Polska,Automatyczna,Diesel,2015,5.0,7.0,Szary,Używane
8249,6082288264,"10:54, 11 marca 2021",26900.0,Ford,Fiesta,Nie podano,Mk7 (2008-),1242.0,82.0,51379,Kompakt,Nie podano,Manualna,Benzyna,2015,5.0,5.0,Czerwony,Używane
8250,6082288207,"10:53, 11 marca 2021",28900.0,Ford,Focus,Nie podano,Mk3 (2010-),1596.0,150.0,114433,Sedan,Nie podano,Manualna,Benzyna,2011,5.0,5.0,Szary,Używane
8251,6082561947,"10:52, 11 marca 2021",126800.0,Volvo,XC 60,D3 R-Design,II (2017-),1969.0,150.0,47800,SUV,Polska,Manualna,Diesel,2018,5.0,5.0,Biały,Używane
8252,6081879919,"10:52, 11 marca 2021",119900.0,Audi,Q5,2.0 TDI Quattro Sport S tronic,FY (2017-),1968.0,190.0,177374,SUV,Niemcy,Automatyczna,Diesel,2018,5.0,5.0,Szary,Używane
8253,6082288152,"10:51, 11 marca 2021",33900.0,Ford,Kuga,Nie podano,I (2008-2012),1997.0,135.0,80157,SUV,Nie podano,Manualna,Diesel,2009,5.0,5.0,Szary,Używane
8254,6083152355,"10:51, 11 marca 2021",36900.0,Volkswagen,Golf,VII 1.6 TDI BMT Trendline,VII (2012-2020),1598.0,90.0,153000,Kompakt,Polska,Manualna,Diesel,2015,5.0,5.0,Szary,Używane
8255,6081795418,"10:50, 11 marca 2021",69950.0,Land Rover,Range Rover Evoque,2.2eD4 Dynamic,Nie podano,2179.0,150.0,191000,SUV,Nie podano,Manualna,Diesel,2013,5.0,5.0,Bordowy,Używane
8256,6082747400,"10:50, 11 marca 2021",13800.0,Toyota,Auris,1.4 D-4D Premium,I (2006-2012),1364.0,90.0,385400,Kompakt,Polska,Manualna,Diesel,2010,5.0,5.0,Srebrny,Używane
8257,6082228955,"10:49, 11 marca 2021",38900.0,Volkswagen,Passat,2.0 TDI Comfortline,B7 (2010-2014),1968.0,140.0,128000,Kombi,Nie podano,Manualna,Diesel,2013,5.0,5.0,Czarny,Używane
8258,6083091375,"10:49, 11 marca 2021",6900.0,Audi,A6,2.4,C5 (1997-2004),2393.0,177.0,235000,Kombi,Nie podano,Manualna,Benzyna,1999,4.0,5.0,Srebrny,Używane
8259,6082747396,"10:49, 11 marca 2021",201242.0,Volvo,V60,CC Pro B5 B AWD,Nie podano,1969.0,250.0,4,Kombi,Polska,Automatyczna,Benzyna,2021,5.0,5.0,Czarny,Nowe
8260,6082287878,"10:48, 11 marca 2021",298000.0,Mercedes-Benz,GLE,Nie podano,W167 (2019-),1950.0,245.0,1,SUV,Polska,Automatyczna,Diesel,2020,5.0,5.0,Niebieski,Nowe
8261,6081066219,"10:48, 11 marca 2021",62900.0,Volkswagen,Passat,Nie podano,B8 (2014-),1968.0,190.0,164478,Kombi,Niemcy,Manualna,Diesel,2017,4.0,5.0,Czarny,Używane
8262,6081971436,"10:48, 11 marca 2021",38900.0,Suzuki,Vitara,Nie podano,Nie podano,1586.0,106.0,72341,Kombi,Polska,Manualna,Benzyna,2011,3.0,4.0,Bordowy,Używane
8263,6081884378,"10:48, 11 marca 2021",104900.0,Audi,A6,2.0 TFSI Quattro S tronic,C7 (2011-2018),1984.0,252.0,158336,Sedan,Niemcy,Automatyczna,Benzyna,2018,5.0,5.0,Czarny,Używane
8264,6082287910,"10:48, 11 marca 2021",20500.0,Opel,Corsa,Nie podano,D (2006-2014),1398.0,100.0,133209,Kompakt,Nie podano,Manualna,Benzyna,2013,5.0,5.0,Żółty,Używane
8265,6083152318,"10:48, 11 marca 2021",97900.0,Opel,Insignia,2.0 T 4x4 Elite S&S,B (2017-),1998.0,260.0,58478,Sedan,Polska,Automatyczna,Benzyna,2017,5.0,5.0,Niebieski,Używane
8266,6083152178,"10:48, 11 marca 2021",51999.0,Opel,Insignia,2.0 CDTI Cosmo S&S,A (2008-2017),1956.0,170.0,106000,Kombi,Nie podano,Manualna,Diesel,2016,5.0,5.0,Czarny,Używane
8267,6082797191,"10:47, 11 marca 2021",39900.0,Volkswagen,Golf,VII 1.6 TDI BMT Comfortline,VII (2012-2020),1598.0,115.0,242443,Kompakt,Polska,Manualna,Diesel,2017,5.0,5.0,Biały,Używane
8268,6082287870,"10:47, 11 marca 2021",22900.0,Opel,Corsa,Nie podano,D (2006-2014),1398.0,100.0,103108,Kompakt,Nie podano,Manualna,Benzyna,2013,5.0,5.0,Biały,Używane
8269,6082287818,"10:47, 11 marca 2021",26900.0,Opel,Astra,Nie podano,J (2009-2015),1598.0,115.0,92242,Kompakt,Nie podano,Manualna,Benzyna,2010,5.0,5.0,Czarny,Używane
8270,6082562217,"10:46, 11 marca 2021",96900.0,Mazda,6,Nie podano,Nie podano,1998.0,165.0,24600,Kombi,Polska,Manualna,Benzyna,2018,5.0,5.0,Czerwony,Używane
