,offer_id,offer_date,price,make,model,version,generation,eng_capacity,eng_power,mileage,body,country_of_origin,gearbox,fuel,prod_year,doors,seats,color,condition
4869,6082437824,"19:39, 18 lutego 2021",61000.0,Suzuki,Vitara,Nie podano,Nie podano,1586.0,120.0,45881,SUV,Polska,Manualna,Benzyna,2016,5.0,5.0,Niebieski,Używane
4870,6079529350,"19:39, 18 lutego 2021",25900.0,Mercedes-Benz,Klasa C,350 CDI Elegance,W204 (2007-2014),2987.0,224.0,345000,Kombi,Niemcy,Manualna,Diesel,2009,5.0,5.0,Szary,Używane
4871,6082437791,"19:39, 18 lutego 2021",11990.0,Mercedes-Benz,Klasa C,180 Kompressor Classic,W203 (2000-2007),1796.0,143.0,234442,Sedan,Niemcy,Manualna,Benzyna,2004,4.0,5.0,Czarny,Używane
4872,6081804308,"19:39, 18 lutego 2021",65900.0,Volvo,V60,Cross Country D3,Nie podano,1969.0,150.0,146000,Kombi,Belgia,Manualna,Diesel,2016,5.0,5.0,Czarny,Używane
4873,6081603026,"19:39, 18 lutego 2021",25900.0,Opel,Astra,1.4 Turbo,J (2009-2015),1364.0,140.0,206000,Kompakt,Szwajcaria,Manualna,Benzyna,2010,5.0,5.0,Szary,Używane
4874,6082437739,"19:38, 18 lutego 2021",10000.0,Buick,Park Avenue,3.8 STD,Nie podano,3791.0,170.0,36200,Sedan,Stany Zjednoczone,Automatyczna,Benzyna,1994,4.0,5.0,Fioletowy,Używane
4875,6082255401,"19:38, 18 lutego 2021",30900.0,Audi,A4,Avant 2.0 TDI DPF,B8 (2007-2015),1968.0,143.0,250000,Kombi,Niemcy,Manualna,Diesel,2010,5.0,5.0,Biały,Używane
4876,6082437774,"19:38, 18 lutego 2021",29000.0,Kia,Ceed,Nie podano,Nie podano,1368.0,100.0,123709,Kombi,Polska,Manualna,Benzyna,2013,5.0,5.0,Brązowy,Używane
4877,6082437746,"19:37, 18 lutego 2021",84000.0,Kia,Sportage,Nie podano,Nie podano,1591.0,132.0,14382,SUV,Nie podano,Manualna,Benzyna,2019,5.0,5.0,Niebieski,Używane
4878,6082437568,"19:37, 18 lutego 2021",36900.0,Ford,Fiesta,ST,Mk7 (2008-),1596.0,182.0,35000,Auta miejskie,Nie podano,Manualna,Benzyna,2015,3.0,5.0,Biały,Używane
4879,6081717239,"19:37, 18 lutego 2021",116990.0,Volkswagen,T-Roc,1.5 TSI GPF ACT Advance DSG,Nie podano,1498.0,150.0,10,SUV,Nie podano,Automatyczna,Benzyna,2021,5.0,5.0,Biały,Nowe
4880,6082437582,"19:36, 18 lutego 2021",33000.0,BMW,Seria 3,Nie podano,E90/E91/E92/E93 (2005-2012),1995.0,177.0,220000,Sedan,Niemcy,Automatyczna,Diesel,2009,5.0,5.0,Czarny,Używane
4881,6082172002,"19:35, 18 lutego 2021",10999.0,Volkswagen,Polo,1.4 16V Fun,IV (2001-2009),1390.0,75.0,200600,Auta miejskie,Nie podano,Manualna,Benzyna,2004,5.0,5.0,Czarny,Używane
4882,6082437642,"19:35, 18 lutego 2021",59900.0,Ford,Mondeo,2.0 TDCi Titanium,Mk5 (2014-),1997.0,150.0,105965,Kombi,Nie podano,Automatyczna,Diesel,2016,5.0,5.0,Szary,Używane
4883,6082437627,"19:35, 18 lutego 2021",33002.0,Renault,Clio,Nie podano,Nie podano,1149.0,73.0,93329,Kompakt,Polska,Manualna,Benzyna,2017,5.0,5.0,Czerwony,Używane
4884,6066788380,"19:35, 18 lutego 2021",281073.0,Porsche,Macan,Nie podano,Nie podano,3604.0,400.0,67000,SUV,Polska,Automatyczna,Benzyna,2016,5.0,5.0,Czarny,Używane
4885,6082437601,"19:34, 18 lutego 2021",31900.0,Mercedes-Benz,Klasa E,320 CDI Avantgarde,W211 (2002-2009),2987.0,224.0,280000,Kombi,Niemcy,Automatyczna,Diesel,2008,5.0,5.0,Czarny,Używane
4886,6082437589,"19:34, 18 lutego 2021",45900.0,Jeep,Cherokee,2.2 MJD Active Drive II Limited,V (2014-),2184.0,200.0,70000,SUV,Czechy,Automatyczna,Diesel,2015,5.0,5.0,Czerwony,Używane
4887,6082437612,"19:33, 18 lutego 2021",33002.0,Renault,Clio,Nie podano,Nie podano,1149.0,73.0,76488,Kompakt,Polska,Manualna,Benzyna,2017,5.0,5.0,Czerwony,Używane
4888,6082374766,"19:33, 18 lutego 2021",48900.0,Hyundai,Genesis Coupe,Nie podano,Nie podano,1998.0,210.0,65000,Coupe,Stany Zjednoczone,Automatyczna,Benzyna,2012,2.0,4.0,Czarny,Używane
4889,6079866974,"19:33, 18 lutego 2021",3900.0,Renault,Scenic,1.9 dCi EXpression,I (1997-2003),1870.0,102.0,360000,Minivan,Nie podano,Manualna,Diesel,2002,5.0,5.0,Szary,Używane
4890,6082437602,"19:33, 18 lutego 2021",49001.0,Kia,Ceed,Nie podano,Nie podano,1591.0,135.0,80923,Kombi,Polska,Automatyczna,Benzyna,2017,5.0,5.0,Biały,Używane
4891,6082437571,"19:31, 18 lutego 2021",32000.0,Kia,Ceed,Nie podano,Nie podano,1368.0,100.0,147033,Kombi,Polska,Manualna,Benzyna+LPG,2015,5.0,5.0,Beżowy,Używane
4892,6082437523,"19:30, 18 lutego 2021",55000.0,Citroën,C4 Grand Picasso,Nie podano,Nie podano,1560.0,120.0,45825,Minivan,Nie podano,Manualna,Diesel,2015,5.0,7.0,Biały,Używane
4893,6082437474,"19:30, 18 lutego 2021",21800.0,Toyota,Aygo,1.0 VVT-i X-play EU6,II (2014-),998.0,69.0,9330,Auta małe,Nie podano,Manualna,Benzyna,2018,5.0,4.0,Biały,Używane
4894,6081539849,"19:30, 18 lutego 2021",33900.0,Peugeot,308,1.6 BlueHDi Business Line S&S,T9 (2014-),1560.0,120.0,181000,Kombi,Nie podano,Manualna,Diesel,2015,5.0,5.0,Czarny,Używane
4895,6080249189,"19:29, 18 lutego 2021",33400.0,Peugeot,308,1.6 BlueHDi Active S&S,T9 (2014-),1560.0,120.0,162000,Kombi,Niemcy,Manualna,Diesel,2015,5.0,5.0,Szary,Używane
4896,6082437507,"19:29, 18 lutego 2021",98799.0,Audi,A4,2.0 TDI S tronic,B9 (2015-),1968.0,190.0,117000,Kombi,Niemcy,Automatyczna,Diesel,2016,5.0,5.0,Biały,Używane
4897,6082437483,"19:29, 18 lutego 2021",74000.0,Suzuki,Vitara,Nie podano,Nie podano,1373.0,140.0,33573,SUV,Nie podano,Manualna,Benzyna,2019,5.0,5.0,Czarny,Używane
4898,6082437501,"19:29, 18 lutego 2021",65000.0,Ford,Kuga,Nie podano,Nie podano,1596.0,182.0,136244,SUV,Nie podano,Automatyczna,Benzyna,2013,5.0,5.0,Zielony,Używane
4899,6080491766,"19:28, 18 lutego 2021",52400.0,Volkswagen,Passat,2.0 TDI BMT Comfortline DSG,B8 (2014-),1968.0,150.0,186000,Kombi,Niemcy,Automatyczna,Diesel,2015,5.0,5.0,Inny kolor,Używane
4900,6081013409,"19:28, 18 lutego 2021",17000.0,Fiat,Bravo,2.0 Multijet 16V Sport,II (2007-),1956.0,165.0,221050,Kompakt,Polska,Manualna,Diesel,2010,5.0,5.0,Czerwony,Używane
4901,6082437396,"19:27, 18 lutego 2021",42501.0,Opel,Astra,Nie podano,K (2015-),1399.0,150.0,115446,Kombi,Polska,Manualna,Benzyna,2016,5.0,5.0,Srebrny,Używane
4902,6082437358,"19:25, 18 lutego 2021",55000.0,Volvo,V40,Nie podano,Nie podano,1969.0,120.0,56210,Kombi,Polska,Manualna,Diesel,2016,5.0,5.0,Czarny,Używane
4903,6082437374,"19:25, 18 lutego 2021",85000.0,Kia,Sportage,Nie podano,Nie podano,1598.0,136.0,32054,SUV,Polska,Manualna,Diesel,2018,5.0,5.0,Czarny,Używane
4904,6077190917,"19:25, 18 lutego 2021",142900.0,Lexus,GS,Nie podano,IV (2012-2018),1998.0,245.0,64338,Sedan,Polska,Automatyczna,Benzyna,2018,4.0,5.0,Biały,Używane
4905,6081555892,"19:25, 18 lutego 2021",49900.0,Hyundai,ix35,1.6 GDI Premium 2WD,Nie podano,1591.0,135.0,73781,SUV,Niemcy,Manualna,Benzyna,2014,5.0,5.0,Biały,Używane
